date,description,amount,type
2026-07-01,STARBUCKS COFFEE #4521,5.75,debit
2026-07-01,UBER TRIP HELP.UBER.COM,18.40,debit
2026-07-02,SALARY DEPOSIT ACME CORP,3200.00,credit
2026-07-02,NETFLIX.COM,15.99,debit
2026-07-03,WHOLE FOODS MARKET,87.32,debit
2026-07-03,SHELL OIL 57443021,42.10,debit
2026-07-04,AMAZON.COM*MK3JD8LP2,64.99,debit
2026-07-05,SPOTIFY PREMIUM,10.99,debit
2026-07-05,CHIPOTLE MEXICAN GRILL,12.85,debit
2026-07-06,LYFT RIDE THU 4PM,9.60,debit
2026-07-07,TARGET STORE 1092,53.47,debit
2026-07-08,AMC THEATRES ONLINE,28.00,debit
2026-07-09,TRADER JOES #118,45.21,debit
2026-07-10,CHEVRON GAS STATION,38.75,debit
2026-07-11,FREELANCE PAYMENT - CLIENT XYZ,650.00,credit
2026-07-12,DOORDASH*PANDA EXPRESS,24.30,debit
2026-07-13,APPLE.COM/BILL ICLOUD,2.99,debit
2026-07-14,BEST BUY 00123,199.99,debit
2026-07-15,METRO TRANSIT AUTOLOAD,25.00,debit
2026-07-16,REFUND - ZARA RETURN,34.50,credit
